Date	Time	Open	High	Low	Close	Volume
02/03/2022	00:00:00	2976.33	2981.71	2922.35	2943.92	23857.5347
02/03/2022	01:00:00	2943.92	2958.52	2914.21	2931.41	22479.6901
02/03/2022	02:00:00	2931.41	2948.57	2915.0	2947.87	16992.2776
02/03/2022	03:00:00	2947.88	3028.0	2939.19	3016.64	46029.1591
02/03/2022	04:00:00	3016.65	3043.91	2983.97	2997.23	40190.1039
02/03/2022	05:00:00	2997.23	3008.7	2975.45	3000.69	19002.6796
02/03/2022	06:00:00	3000.69	3002.44	2961.2	2967.14	15994.2092
02/03/2022	07:00:00	2967.14	2980.42	2955.0	2968.84	18613.1116
02/03/2022	08:00:00	2968.81	3008.6	2950.64	2977.38	28784.3004
02/03/2022	09:00:00	2977.37	3005.0	2970.49	2992.35	25736.0518
02/03/2022	10:00:00	2992.35	3029.0	2986.23	3007.22	20235.1229
02/03/2022	11:00:00	3007.22	3008.77	2987.36	3004.33	21409.5133
02/03/2022	12:00:00	3004.32	3027.0	2951.46	2986.6	41350.4668
02/03/2022	13:00:00	2986.61	2991.11	2925.64	2943.98	42393.3429
02/03/2022	14:00:00	2943.98	3029.04	2940.92	3011.41	49079.1347
02/03/2022	15:00:00	3011.41	3035.0	2945.55	2952.71	69327.3946
02/03/2022	16:00:00	2952.7	2982.42	2943.53	2963.89	22600.8848
02/03/2022	17:00:00	2963.89	2979.2	2945.0	2945.78	13415.8463
02/03/2022	18:00:00	2945.77	2963.97	2918.28	2925.47	17938.8244
02/03/2022	19:00:00	2925.47	2942.42	2914.31	2933.32	15247.1469
02/03/2022	20:00:00	2933.32	2950.95	2929.19	2948.91	12930.0543
02/03/2022	21:00:00	2948.92	2979.0	2940.75	2975.05	11751.7356
02/03/2022	22:00:00	2975.05	2987.62	2956.16	2960.8	10461.2799
02/03/2022	23:00:00	2960.8	2969.48	2945.3	2947.3	8803.8807
03/03/2022	00:00:00	2947.31	2970.97	2931.26	2965.47	19098.4916
03/03/2022	01:00:00	2965.47	2966.0	2937.87	2946.16	13627.2986
03/03/2022	02:00:00	2946.16	2947.58	2917.63	2931.53	17798.1771
03/03/2022	03:00:00	2931.52	2934.2	2886.77	2895.01	22696.6135
03/03/2022	04:00:00	2895.01	2910.93	2887.75	2901.48	14222.4007
03/03/2022	05:00:00	2901.48	2914.01	2894.78	2898.65	9736.4169
03/03/2022	06:00:00	2898.64	2916.0	2871.74	2914.22	20189.8158
03/03/2022	07:00:00	2914.21	2920.81	2899.43	2908.03	12009.7219
03/03/2022	08:00:00	2908.02	2917.81	2894.96	2906.3	10488.4675
03/03/2022	09:00:00	2906.3	2908.06	2881.01	2885.38	15582.2019
03/03/2022	10:00:00	2885.38	2912.96	2878.0	2911.0	17144.7719
03/03/2022	11:00:00	2911.0	2934.02	2903.55	2912.43	17314.196
03/03/2022	12:00:00	2912.43	2931.55	2904.0	2914.19	14379.8233
03/03/2022	13:00:00	2914.2	2931.61	2910.17	2929.93	12552.0816
03/03/2022	14:00:00	2929.93	2934.98	2879.51	2887.73	25583.4184
03/03/2022	15:00:00	2887.74	2891.4	2816.35	2828.0	56926.0419
03/03/2022	16:00:00	2827.99	2839.62	2810.13	2818.74	33717.5162
03/03/2022	17:00:00	2818.73	2830.99	2785.0	2819.9	29988.8091
03/03/2022	18:00:00	2819.9	2834.94	2811.13	2817.24	16297.4592
03/03/2022	19:00:00	2817.24	2824.0	2800.8	2817.2	11564.094
03/03/2022	20:00:00	2817.21	2823.98	2793.43	2803.62	19504.1019
03/03/2022	21:00:00	2803.63	2814.92	2790.6	2804.34	11718.5243
03/03/2022	22:00:00	2804.34	2843.37	2803.24	2834.0	15192.6614
03/03/2022	23:00:00	2834.0	2849.55	2827.46	2833.99	8859.1306
04/03/2022	00:00:00	2834.0	2836.17	2726.81	2734.38	49085.9615
04/03/2022	01:00:00	2734.38	2737.68	2687.47	2733.08	57219.3508
04/03/2022	02:00:00	2733.08	2736.8	2719.91	2726.13	13275.2601
04/03/2022	03:00:00	2726.12	2730.23	2712.01	2725.33	16086.6635
04/03/2022	04:00:00	2725.33	2730.0	2710.0	2728.05	13425.0253
04/03/2022	05:00:00	2728.06	2732.78	2716.29	2725.77	10201.869
04/03/2022	06:00:00	2725.77	2733.8	2718.01	2724.48	9142.7262
04/03/2022	07:00:00	2724.48	2734.0	2716.9	2733.07	9540.752
04/03/2022	08:00:00	2733.08	2751.65	2704.5	2743.99	31995.5488
04/03/2022	09:00:00	2743.99	2749.0	2716.94	2729.72	18056.8795
04/03/2022	10:00:00	2729.72	2748.86	2728.32	2741.8	12259.0076
04/03/2022	11:00:00	2741.8	2759.24	2736.74	2744.39	12033.6483
04/03/2022	12:00:00	2744.39	2750.26	2720.66	2730.11	17216.5366
04/03/2022	13:00:00	2730.11	2755.56	2715.0	2720.65	22235.7727
04/03/2022	14:00:00	2720.64	2725.51	2660.0	2705.63	46442.258
04/03/2022	15:00:00	2705.63	2716.37	2666.42	2671.72	40302.8395
04/03/2022	16:00:00	2671.73	2684.74	2646.45	2675.35	36279.8761
04/03/2022	17:00:00	2675.34	2697.5	2668.47	2690.3	16747.0751
04/03/2022	18:00:00	2690.31	2697.5	2669.28	2671.55	10655.2763
04/03/2022	19:00:00	2671.56	2675.35	2610.27	2617.2	32216.9339
04/03/2022	20:00:00	2617.2	2629.99	2600.0	2614.46	29865.368
04/03/2022	21:00:00	2614.45	2628.01	2603.39	2608.81	13218.1534
04/03/2022	22:00:00	2608.8	2616.94	2573.0	2611.71	25085.2254
04/03/2022	23:00:00	2611.71	2624.26	2605.16	2622.1	13590.7512
05/03/2022	00:00:00	2622.11	2622.33	2593.87	2594.44	20580.9391
05/03/2022	01:00:00	2594.43	2618.71	2589.38	2612.62	15230.2999
05/03/2022	02:00:00	2612.63	2620.0	2606.21	2610.0	8650.208
05/03/2022	03:00:00	2610.0	2630.23	2608.22	2625.44	13423.4269
05/03/2022	04:00:00	2625.43	2628.73	2609.62	2617.99	13484.5614
05/03/2022	05:00:00	2617.99	2627.62	2615.04	2625.46	8557.5311
05/03/2022	06:00:00	2625.46	2633.93	2621.08	2625.87	9775.6474
05/03/2022	07:00:00	2625.87	2643.5	2622.71	2638.15	11056.3039
05/03/2022	08:00:00	2638.14	2655.5	2631.0	2650.63	11960.4923
05/03/2022	09:00:00	2650.63	2657.79	2640.73	2648.91	10893.7654
05/03/2022	10:00:00	2648.9	2654.64	2632.11	2647.84	15676.3278
05/03/2022	11:00:00	2647.84	2656.71	2644.27	2648.19	9873.1809
05/03/2022	12:00:00	2648.18	2672.23	2647.78	2653.89	22153.0395
05/03/2022	13:00:00	2653.89	2654.76	2631.22	2635.68	15461.6754
05/03/2022	14:00:00	2635.68	2653.15	2627.34	2641.65	8430.5842
05/03/2022	15:00:00	2641.65	2649.48	2636.7	2642.81	6066.704
05/03/2022	16:00:00	2642.81	2685.12	2640.0	2659.17	16927.7347
05/03/2022	17:00:00	2659.18	2673.61	2655.31	2667.97	9313.1421
05/03/2022	18:00:00	2667.98	2669.85	2655.95	2668.17	7123.905
05/03/2022	19:00:00	2668.16	2675.57	2664.12	2670.71	7406.9731
05/03/2022	20:00:00	2670.72	2681.16	2664.54	2666.78	9152.9232
05/03/2022	21:00:00	2666.79	2669.14	2652.48	2655.0	6767.9694
05/03/2022	22:00:00	2655.0	2670.84	2650.69	2670.06	4376.0322
05/03/2022	23:00:00	2670.07	2670.6	2657.0	2665.15	6386.9367
06/03/2022	00:00:00	2665.16	2676.29	2662.0	2673.25	5545.6897
06/03/2022	01:00:00	2673.25	2674.39	2660.0	2660.68	6776.861
06/03/2022	02:00:00	2660.69	2667.12	2653.74	2663.44	5332.1737
06/03/2022	03:00:00	2663.45	2665.57	2635.0	2639.26	8885.6737
06/03/2022	04:00:00	2639.25	2659.0	2616.14	2646.77	20250.8633
06/03/2022	05:00:00	2646.77	2657.76	2645.36	2649.63	5473.9593
06/03/2022	06:00:00	2649.64	2659.98	2643.41	2647.28	6039.3123
06/03/2022	07:00:00	2647.28	2650.35	2635.27	2644.93	6783.8678
06/03/2022	08:00:00	2644.93	2647.87	2634.03	2635.48	8036.7681
06/03/2022	09:00:00	2635.48	2638.76	2608.34	2608.35	16836.905
06/03/2022	10:00:00	2608.35	2612.2	2590.0	2599.0	37747.2329
06/03/2022	11:00:00	2599.01	2608.89	2590.15	2608.26	13749.4252
06/03/2022	12:00:00	2608.25	2621.93	2605.24	2617.0	14978.9945
06/03/2022	13:00:00	2617.0	2648.78	2617.0	2639.18	18026.6467
06/03/2022	14:00:00	2639.19	2641.51	2621.46	2625.87	13541.0468
06/03/2022	15:00:00	2625.86	2629.6	2611.27	2626.84	10269.4062
06/03/2022	16:00:00	2626.83	2654.79	2620.0	2646.01	17817.6104
06/03/2022	17:00:00	2646.0	2649.45	2626.13	2631.63	11130.8716
06/03/2022	18:00:00	2631.64	2640.1	2618.07	2623.19	10711.8361
06/03/2022	19:00:00	2623.19	2628.44	2604.0	2607.03	11235.8748
06/03/2022	20:00:00	2607.03	2622.99	2604.04	2617.49	12171.8397
06/03/2022	21:00:00	2617.48	2643.42	2613.46	2629.48	17034.3719
06/03/2022	22:00:00	2629.49	2644.45	2626.45	2629.09	7328.8308
06/03/2022	23:00:00	2629.08	2632.43	2535.0	2551.29	50781.8484
07/03/2022	00:00:00	2551.3	2555.56	2512.5	2542.37	42418.702
